Generating SQLite file /root/dhz/yuhuihe/ISA-results/fefet_raw_benchmark_20260805/results/fefet_raw.sqlite from /root/dhz/yuhuihe/ISA-results/fefet_raw_benchmark_20260805/results/fefet_raw.nsys-rep
Processing [/root/dhz/yuhuihe/ISA-results/fefet_raw_benchmark_20260805/results/fefet_raw.sqlite] with [/usr/local/cuda-12.4/NsightSystems-cli-2024.2.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.2,72376309,2,36188154.5,36188154.5,36187371,36188938,1108.0,_fefet_fwd_kernel_0d1d2d3d4de5de6de7de8c9de10c11de12c131415161718
23.7,29971945,2,14985972.5,14985972.5,14984068,14987877,2693.4,_fefet_grad_v_kernel_0d1d2d3d4d5de6de7de8de9c10de11c12de13c14de15c161718192021
19.0,24011367,2,12005683.5,12005683.5,10764451,13246916,1755367.8,_fefet_grad_w_kernel_0d1d2d3d4d5d6de7de8de9de10c11de12c13de14c15de16c171819202122
0.0,28031,4,7007.8,4815.5,4704,13696,4459.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4>>(T3)"
0.0,12063,3,4021.0,4000.0,4000,4063,36.4,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, (unsigned long)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, T5)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, (int)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, (unsigned long)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, T5)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(int, at::PhiloxCudaState, T3, T4)"
0.0,11520,4,2880.0,3120.0,1792,3488,748.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
0.0,6943,4,1735.8,1712.0,1695,1824,60.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
0.0,6912,4,1728.0,1744.0,1664,1760,45.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
0.0,6881,3,2293.7,1697.0,1696,3488,1034.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
0.0,6241,4,1560.3,1648.0,1280,1665,187.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
