Generating SQLite file /root/dhz/yuhuihe/ISA-results/fefet_raw_splitk_profile_20260805/results/fefet_raw.sqlite from /root/dhz/yuhuihe/ISA-results/fefet_raw_splitk_profile_20260805/results/fefet_raw.nsys-rep
Processing [/root/dhz/yuhuihe/ISA-results/fefet_raw_splitk_profile_20260805/results/fefet_raw.sqlite] with [/usr/local/cuda-12.4/NsightSystems-cli-2024.2.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.3,4677852,2,2338926.0,2338926.0,2338878,2338974,67.9,_fefet_grad_w_split_kernel_0d1d2d3d4d5d6de7de8de9de10c11de12c13de14c15de16c171819202122
34.9,4621597,2,2310798.5,2310798.5,2310751,2310846,67.2,_fefet_grad_v_split_kernel_0d1d2d3d4d5de6de7de8de9c10de11c12de13c14de15c161718192021
29.2,3872606,2,1936303.0,1936303.0,1936127,1936479,248.9,_fefet_fwd_split_k_kernel_0d1d2d3d4de5de6de7de8de9c10de11c12de13de14c151617181920
0.2,22048,4,5512.0,4640.0,4512,8256,1832.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4>>(T3)"
0.1,12000,3,4000.0,3968.0,3936,4096,84.7,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, (unsigned long)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, T5)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, (int)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, (unsigned long)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, T5)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(int, at::PhiloxCudaState, T3, T4)"
0.1,8225,6,1370.8,1376.5,1312,1440,55.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)"
0.0,6464,4,1616.0,1600.0,1311,1953,262.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
0.0,6177,4,1544.3,1584.0,1312,1697,164.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
0.0,6176,4,1544.0,1584.0,1312,1696,164.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
0.0,5985,4,1496.3,1536.0,1313,1600,125.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
0.0,5184,3,1728.0,1728.0,1568,1888,160.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
0.0,5152,2,2576.0,2576.0,2560,2592,22.6,_fefet_fwd_split_k_reduce_kernel_0d1d2de3de4de5de6de7c8de9c
