model_type,layer,input_shape,current_shape,r_tia_ohm,saturation_current_A,count,finite_ratio,mean_A,std_A,abs_mean_A,p01_A,p50_A,p99_A,max_A,abs_max_A,near_zero_ratio,tia_saturation_ratio
hybrid,blocks.0.mlp.fc1,"[4, 65, 384]","[260, 1536]",119669.671875,3.3425344427936326e-05,399360,1.0,-5.984183815144206e-08,1.7853452618510346e-06,1.4084060921959463e-06,-4.315676051191986e-06,-5.601767227858545e-08,4.184918452665443e-06,9.216845683113206e-06,9.703724572318606e-06,0.000503305287566036,0.0
hybrid,blocks.1.mlp.fc1,"[4, 65, 384]","[260, 1536]",119620.484375,3.3439088805729476e-05,399360,1.0,-4.043710077894502e-08,1.925448032125132e-06,1.5257410268532112e-06,-4.628079750546021e-06,-3.2720812725983706e-08,4.462628567125648e-06,8.947989044827409e-06,9.5219174909289e-06,0.00042568109347485006,0.0
hybrid,blocks.2.mlp.fc1,"[4, 65, 384]","[260, 1536]",148351.34375,2.696301832453068e-05,399360,1.0,-1.0341802081370588e-08,1.1063216334150638e-06,8.741011470192461e-07,-2.6448174139659386e-06,-9.037911752329819e-09,2.6130539936275454e-06,5.815424628963228e-06,5.815424628963228e-06,0.0006961137987673283,0.0
hybrid,blocks.3.mlp.fc1,"[4, 65, 384]","[260, 1536]",166047.921875,2.4089431260760846e-05,399360,1.0,-9.138760304061577e-10,8.507137181368307e-07,6.68486052290973e-07,-2.0349807527964003e-06,6.40741681934287e-10,2.042920186795527e-06,4.6012155507924035e-06,4.6012155507924035e-06,0.000966546474955976,0.0
hybrid,blocks.4.mlp.fc1,"[4, 65, 384]","[260, 1536]",144448.3125,2.769156614411816e-05,399360,1.0,-9.27660348537529e-09,7.877982284298923e-07,6.20212119883945e-07,-1.9010675487152184e-06,-7.922475120381023e-09,1.8806538264470873e-06,4.196483132545836e-06,4.5033698370389175e-06,0.0010141226230189204,0.0
hybrid,blocks.5.mlp.fc1,"[4, 65, 384]","[260, 1536]",122311.21875,3.2703459591681974e-05,399360,1.0,-7.626312026332016e-09,8.306645895572728e-07,6.550890816470201e-07,-1.981392188099562e-06,-9.2543590568539e-09,1.982868070626864e-06,4.898300176137127e-06,4.898300176137127e-06,0.0010216346709057689,0.0
hybrid,blocks.6.mlp.fc1,"[4, 65, 384]","[260, 1536]",123835.5546875,3.2300901062655485e-05,399360,1.0,-6.866069934829966e-10,7.460557753802277e-07,5.888949203836091e-07,-1.7832192042988027e-06,1.3609224858157631e-10,1.7731680372889969e-06,3.9552178350277245e-06,4.589864147419576e-06,0.0011293068528175354,0.0
hybrid,blocks.7.mlp.fc1,"[4, 65, 384]","[260, 1536]",116137.2734375,3.444200024338117e-05,399360,1.0,3.46602302414567e-09,7.864970257287496e-07,6.212415541995142e-07,-1.8660193745745346e-06,4.097943318015496e-09,1.8761755882223952e-06,4.4225544115761295e-06,4.4225544115761295e-06,0.0010541867231950164,0.0
hybrid,blocks.8.mlp.fc1,"[4, 65, 384]","[260, 1536]",132545.046875,3.017841929447807e-05,399360,1.0,1.466069154965055e-09,7.331060487558716e-07,5.805281944049057e-07,-1.7420105677956599e-06,2.24426877082351e-09,1.734534293973411e-06,3.61640354640258e-06,3.970655143348267e-06,0.0010917468462139368,0.0
hybrid,blocks.9.mlp.fc1,"[4, 65, 384]","[260, 1536]",167691.640625,2.3853305895819756e-05,399360,1.0,2.0161934344287147e-09,7.097522711774218e-07,5.605801334240823e-07,-1.681301341704966e-06,2.5651656354597208e-09,1.6959652384684887e-06,3.941007889807224e-06,3.941007889807224e-06,0.0010842347983270884,0.0
hybrid,blocks.10.mlp.fc1,"[4, 65, 384]","[260, 1536]",207038.484375,1.932007960778427e-05,399360,1.0,2.720820457824402e-09,6.738143838447286e-07,5.316863394000393e-07,-1.5962269799274509e-06,1.468603016974157e-09,1.6171538845810574e-06,3.821302470896626e-06,3.821302470896626e-06,0.0012044270988553762,0.0
hybrid,blocks.11.mlp.fc1,"[4, 65, 384]","[260, 1536]",205140.1875,1.9498860992315315e-05,399360,1.0,2.6163709421211934e-08,8.662943287163216e-07,6.856619734207925e-07,-2.018176473939093e-06,2.4655427921516093e-08,2.0922136627632426e-06,4.370169335743412e-06,4.710879693448078e-06,0.000961538462433964,0.0
