model_type,layer,input_shape,current_shape,r_tia_ohm,saturation_current_A,count,finite_ratio,mean_A,std_A,abs_mean_A,p01_A,p50_A,p99_A,max_A,abs_max_A,near_zero_ratio,tia_saturation_ratio
physical,blocks.0.mlp.fc1,"[4, 65, 384]","[260, 1536]",177451.0,2.2541433973322213e-05,399360,1.0,6.531452640956559e-07,5.943767064309213e-06,3.6802730392082594e-06,-9.170204975816887e-06,-2.0888049334644165e-07,2.83468089037342e-05,4.047151014674455e-05,4.047151014674455e-05,0.000242888621869497,0.025415664538741112
physical,blocks.0.mlp.fc2,"[4, 65, 1536]","[260, 384]",127726.8828125,3.1316821579932426e-05,99840,1.0,-2.796921307890443e-07,7.1817498792370316e-06,5.459827207232593e-06,-1.5892970623099245e-05,-6.098537710386154e-07,1.9970373614341952e-05,4.634107244783081e-05,4.634107244783081e-05,0.0001302083401242271,0.002934695454314351
physical,blocks.1.mlp.fc1,"[4, 65, 384]","[260, 1536]",191088.328125,2.0932728017712357e-05,399360,1.0,-2.3988391717466584e-07,7.686899152758997e-06,5.342441909306217e-06,-1.2819979019695893e-05,-1.7954853319679387e-06,2.652950024639722e-05,3.50691334460862e-05,3.50691334460862e-05,0.0001176883015432395,0.04691506549715996
physical,blocks.1.mlp.fc2,"[4, 65, 1536]","[260, 384]",86607.4921875,4.618538072133807e-05,99840,1.0,6.535248644468084e-07,5.674069598171627e-06,4.40141957369633e-06,-1.3837027836416382e-05,6.722543730575126e-07,1.5537038052571006e-05,3.065353666897863e-05,3.065353666897863e-05,0.0001302083401242271,0.0
physical,blocks.2.mlp.fc1,"[4, 65, 384]","[260, 1536]",199684.296875,2.003162022552005e-05,399360,1.0,-2.598152661903441e-07,8.028159754758235e-06,5.669485290127341e-06,-1.3622258848045021e-05,-2.0212414710840676e-06,2.5837836801656522e-05,3.551594272721559e-05,3.551594272721559e-05,0.0001327123463852331,0.056402742862701416
physical,blocks.2.mlp.fc2,"[4, 65, 1536]","[260, 384]",79446.0703125,5.034861994137729e-05,99840,1.0,3.5648730545290164e-07,4.859399268752895e-06,3.7438735489558894e-06,-1.2480272744141985e-05,4.512254747623956e-07,1.1804871974163689e-05,2.7632513592834584e-05,2.7632513592834584e-05,0.00020032051543239504,0.0
physical,blocks.3.mlp.fc1,"[4, 65, 384]","[260, 1536]",216680.46875,1.8460362500946455e-05,399360,1.0,-7.308198046729331e-09,7.002744041528786e-06,5.110025995236356e-06,-1.2142690138716716e-05,-1.421670049239765e-06,2.2893675122759305e-05,3.198990089003928e-05,3.198990089003928e-05,0.0001252003276022151,0.039943911135196686
physical,blocks.3.mlp.fc2,"[4, 65, 1536]","[260, 384]",78072.953125,5.123413217885756e-05,99840,1.0,3.6048706419933296e-07,4.6381233005377e-06,3.6146645925327903e-06,-1.2293327017687261e-05,4.992494950784021e-07,1.0465394552738871e-05,2.033933560596779e-05,3.0427849196712486e-05,0.00019030449038837105,0.0
physical,blocks.4.mlp.fc1,"[4, 65, 384]","[260, 1536]",235119.75,1.7012607405375345e-05,399360,1.0,-3.1584559678776714e-07,6.120403668319341e-06,4.474691195355263e-06,-1.111201254389016e-05,-1.5024011190689635e-06,2.077422868751455e-05,3.038590875803493e-05,3.038590875803493e-05,0.00017277644656132907,0.03337089344859123
physical,blocks.4.mlp.fc2,"[4, 65, 1536]","[260, 384]",81979.796875,4.8792509282489e-05,99840,1.0,5.292932883094181e-07,4.254283339832909e-06,3.3859794257296016e-06,-1.0184437087445986e-05,6.158155656521558e-07,1.00047955129412e-05,1.636511842662003e-05,2.480184775777161e-05,0.000230368590564467,0.0
physical,blocks.5.mlp.fc1,"[4, 65, 384]","[260, 1536]",237859.453125,1.6816653479388596e-05,399360,1.0,-3.0611124657298205e-07,6.334930276352679e-06,4.6564127842430025e-06,-1.0924310117843561e-05,-1.6298830587402335e-06,2.07856937777251e-05,2.855828461179044e-05,2.855828461179044e-05,0.00012269632134120911,0.037908151745796204
physical,blocks.5.mlp.fc2,"[4, 65, 1536]","[260, 384]",84845.9921875,4.7144242136510754e-05,99840,1.0,2.237851930431134e-07,3.5736181871470762e-06,2.8440160804166226e-06,-8.315545528603252e-06,2.4440114998469653e-07,8.50874130264856e-06,1.4714959434058983e-05,1.8981329048983753e-05,0.00019030449038837105,0.0
physical,blocks.6.mlp.fc1,"[4, 65, 384]","[260, 1536]",242304.359375,1.6508163577071425e-05,399360,1.0,-4.566402083128196e-07,6.2444696595775895e-06,4.567065843730234e-06,-1.0781633136502933e-05,-1.7864585970528424e-06,2.1102745449752547e-05,3.437127816141583e-05,3.437127816141583e-05,0.0001277043338632211,0.039398036897182465
physical,blocks.6.mlp.fc2,"[4, 65, 1536]","[260, 384]",98890.046875,4.0448964546008564e-05,99840,1.0,4.037800920286827e-07,2.9730438200203935e-06,2.379181523792795e-06,-6.706025033054175e-06,4.100597266187833e-07,7.392816314677475e-06,1.4476789147011004e-05,1.4476789147011004e-05,0.0002504006552044302,0.0
physical,blocks.7.mlp.fc1,"[4, 65, 384]","[260, 1536]",232284.78125,1.7220241371280108e-05,399360,1.0,-4.2047614101647923e-07,6.000841494824272e-06,4.434843503986485e-06,-1.0374332305218559e-05,-1.7189607888212777e-06,2.0271389075787738e-05,2.9526854632422328e-05,2.9526854632422328e-05,0.00010767227649921551,0.030834335833787918
physical,blocks.7.mlp.fc2,"[4, 65, 1536]","[260, 384]",97495.0234375,4.102773514962262e-05,99840,1.0,4.018502011149394e-07,3.088382300120429e-06,2.484012611603248e-06,-6.77006437399541e-06,4.072213641848066e-07,7.587999789393507e-06,1.2831076674046926e-05,1.2879946552857291e-05,0.0002904647553805262,0.0
physical,blocks.8.mlp.fc1,"[4, 65, 384]","[260, 1536]",229147.9375,1.7455972083536646e-05,399360,1.0,-5.783755909760657e-07,5.6577623581688385e-06,4.1649200284155086e-06,-9.475357728661038e-06,-1.8008956885751104e-06,2.0245995983714238e-05,3.097033186350018e-05,3.097033186350018e-05,0.00015274439647328109,0.026893028989434242
physical,blocks.8.mlp.fc2,"[4, 65, 1536]","[260, 384]",131493.9375,3.0419653377555904e-05,99840,1.0,4.0600102124699333e-07,2.5040471882675774e-06,2.0248471628292464e-06,-5.46436058357358e-06,4.2458731286387774e-07,6.198258688527858e-06,1.1875154996232595e-05,1.1875154996232595e-05,0.0002704327052924782,0.0
physical,blocks.9.mlp.fc1,"[4, 65, 384]","[260, 1536]",228571.09375,1.7500025634803178e-05,399360,1.0,-1.8734274931375694e-07,5.750900072598597e-06,4.08290907216724e-06,-8.83470056578517e-06,-1.5382374840555713e-06,2.025596950261388e-05,2.9965511203045025e-05,2.9965511203045025e-05,0.0001352163526462391,0.030964544042944908
physical,blocks.9.mlp.fc2,"[4, 65, 1536]","[260, 384]",138319.8125,2.8918489171607284e-05,99840,1.0,4.102778063952428e-07,2.660678319443832e-06,2.1414309685496846e-06,-5.8092959989153314e-06,4.0899828945839545e-07,6.615456641156925e-06,1.563166188134346e-05,1.563166188134346e-05,0.00032051283051259816,0.0
physical,blocks.10.mlp.fc1,"[4, 65, 384]","[260, 1536]",231138.109375,1.7305670669436746e-05,399360,1.0,-2.808761223604961e-07,4.786467798112426e-06,3.4127697290387005e-06,-7.67615347285755e-06,-1.2601394701050594e-06,1.86004072020296e-05,2.58904074144084e-05,2.58904074144084e-05,0.00020783253421541303,0.017410356551408768
physical,blocks.10.mlp.fc2,"[4, 65, 1536]","[260, 384]",162342.421875,2.4639277607179654e-05,99840,1.0,1.299481482419651e-07,3.0469482226180844e-06,2.4258818029920803e-06,-7.037815521471202e-06,1.395409867654962e-07,7.187778919615084e-06,1.3091766049910802e-05,1.36954004119616e-05,0.0002904647553805262,0.0
physical,blocks.11.mlp.fc1,"[4, 65, 384]","[260, 1536]",241543.875,1.656013840135669e-05,399360,1.0,-5.858837539562955e-07,4.850966888625408e-06,3.415350420254981e-06,-7.610592092532897e-06,-1.5751371620353893e-06,1.8913240637630224e-05,2.8086160455131903e-05,2.8086160455131903e-05,0.00019280849664937705,0.02513020858168602
physical,blocks.11.mlp.fc2,"[4, 65, 1536]","[260, 384]",251284.40625,1.5918218164403107e-05,99840,1.0,9.465510402151267e-07,3.920098151866114e-06,3.1598101486451924e-06,-8.639900443085935e-06,9.767982191988267e-07,9.903831596602686e-06,1.8089262084686197e-05,2.9314638595678844e-05,0.00021033654047641903,0.0016826923238113523
