architecture,dataset,device,best_val_accuracy,best_val_percent,epochs,trial,learning_rate,init_center,init_half_width,tia_r_ohm,search_scope,source_run
MLP,MNIST,ReRAM,0.9775999784,97.76,200,19,0.000191986779,0.605567239,0.013506702,23783.2831,lr_center_half_width_tia_r,paper_search_lr_20260729/mlp/reram
MLP,MNIST,PCM,0.9746999741,97.47,200,19,0.000394998555,0.033945072,0.020399360,641.7878,lr_center_half_width_tia_r,paper_search_lr_20260729/mlp/pcm
MLP,MNIST,STT,0.9772999883,97.73,200,11,0.000909260010,0.468720556,0.250237225,2998.7718,lr_center_half_width_tia_r,paper_search_lr_20260729/mlp/stt
MLP,MNIST,FeFET,0.9670000076,96.70,200,16,0.001409123559,3.143691222,0.116593957,106.0643,lr_center_half_width_tia_r,paper_search_lr_20260729/mlp/fefet
MLP,MNIST,Flash,0.9799000025,97.99,200,11,0.001947114435,1.443004120,0.455725552,16600.1121,lr_center_half_width_tia_r,paper_search_lr_20260729/mlp/flash
VGG8,CIFAR-10,ReRAM,0.8125,81.25,200,18,0.000051405210,0.605722504,0.041907749,279.4079,lr_center_half_width_tia_r,paper_search_lr_20260729/vgg8/reram
VGG8,CIFAR-10,PCM,0.8589000106,85.89,200,8,0.000022503137,0.017297508,0.005242420,650.6604,lr_center_half_width_tia_r,paper_search_lr_20260729/vgg8/pcm
VGG8,CIFAR-10,STT,0.8844000101,88.44,200,9,0.002495320158,2.343033425,0.055643056,1671.1635,lr_center_half_width_tia_r,paper_search_lr_20260729/vgg8/stt
VGG8,CIFAR-10,FeFET,0.8889999986,88.90,200,1,0.014701762450,2.214381698,1.020930704,133.2815,lr_center_half_width_tia_r,paper_search_lr_20260729/vgg8/fefet
VGG8,CIFAR-10,Flash,0.8960000277,89.60,200,2,0.001387870914,0.522874149,0.064980982,22150.2274,lr_center_half_width_tia_r,paper_search_lr_20260729/vgg8/flash
